ini_condition,decay_factor,pre-pulse_EF,change_EF,GPP,Tair,Rg,P/PET,Soil.pH,SOC,Clay_%
2.256495203,0.102188581,0.155307789,0.175792706,1.07029177,23.39241536,355.376771,0.152479436,6.9,10.9,17.8
12.86693452,0.25073141,0.231731709,0.075791327,5.072656285,28.44439829,427.4674452,0.626646834,5.9,9.7,12.9
8.150228921,0.251918923,0.318072045,0.124425752,5.030130341,29.17357636,434.8452929,0.436599788,6.7,8.9,25.2
8.991483781,0.201163146,0.293887678,0.179927313,3.949258842,18.87200582,335.1421069,0.441950996,6.1,39.8,15.38461538
5.342160653,0.175320613,0.209966412,0.204021347,1.622060485,27.6902103,399.1502654,0.302664584,6.8,7.2,30.2
8.624267502,0.214449396,0.24837021,0.179784408,3.654053267,18.95424993,279.4099586,0.418751862,6.5,32.6,20.37962038
6.074510852,0.164749716,0.216175382,0.107107157,1.238268208,19.65006533,307.6639234,0.191315729,7.8,16.4,28.1
11.76773902,0.179106102,0.285198117,0.189351701,5.009970258,18.86307418,301.1642409,0.38190259,6.9,26.8,20
8.647579608,0.125478787,0.271570305,0.199094262,4.857332813,19.26551208,298.8020038,0.38190259,7,27,15.4
2.167298571,0.323514157,0.191066247,0.148293015,0.380200238,19.30177436,348.0376115,0.280003338,7.5,15.3,23.1
2.441783799,0.187976838,0.188973796,0.115496923,1.303262556,21.20903958,374.7175868,0.165425438,8.1,8.4,15.1
3.513092484,0.232348863,0.21401217,0.222276568,1.271153487,20.43319349,298.3380686,0.174178762,7.9,7.5,14.3
4.321944015,0.269329708,0.218871985,0.178435424,3.859550147,22.8470274,392.1205774,0.202139283,7.8,8,25.7
3.51581265,0.067603674,0.199851779,0.128220265,2.127437886,12.33253111,345.8416234,0.290846386,7.3,23.7,21.2
3.717383643,0.105935231,0.305244359,0.172873581,2.823163711,10.6760029,304.2933822,0.339361293,6.7,33.1,21.22122122
9.514437677,0.279105109,0.329139085,0.187213284,4.649148618,8.482310586,351.1252275,0.454809867,6.5,69.7,20.6
2.908632005,0.096223459,0.363550877,0.108009835,2.983181004,7.437586702,277.5429427,0.439975055,6.8,33,16.6
3.398251172,0.133030232,0.314543518,0.151619276,1.465719327,12.23666262,248.3333001,0.264845173,7.3,16.3,15
5.597110068,0.19436676,0.183457698,0.179912429,0.688653699,17.7422388,355.8365713,0.160679087,8.1,10,15.98401598
8.245717171,0.216289875,0.194846373,0.154437931,0.541436407,18.69838834,375.7929022,0.156110899,8.1,8.4,20.32032032
3.134002079,0.190895057,0.182610787,0.134418036,0.512281364,20.83072646,320.2098949,0.212499304,7.3,7.6,14.98501499
7.720857542,0.121439321,0.31190356,0.10366672,1.570924962,20.63574184,310.1734848,0.330037977,6.8,14.7,14.8
5.880269271,0.147855473,0.209974664,0.13767439,0.896887016,20.71390423,319.6359498,0.261030669,7.2,12.3,17.3
7.753218256,0.281347291,0.34078293,0.186318347,2.34195364,21.84112081,322.888204,0.261030669,6.9,12.3,16.6
19.67531094,0.130890249,0.275817366,0.173016889,4.706175772,20.46684628,423.6334511,0.446672355,6.1,31.2,19.1
16.1453831,0.15937142,0.223183689,0.195114025,2.942411241,20.62018326,436.7068323,0.45841324,6,34.3,18.18181818
4.135237277,0.175791145,0.203096246,0.167863149,0.324242768,19.72317544,354.00262,0.201142204,7.9,8.7,16
4.154593165,0.261527373,0.250934991,0.11739768,2.055695755,14.58211076,340.9670186,0.233688962,7.6,11.2,23.4
4.818082339,0.130791183,0.223161293,0.158493077,0.948211722,19.44510898,418.2733361,0.229948977,7.1,10.5,14.58541459
